Cm,Ch,Bm,Bh,T,R,G,B
0,0,0.8,0.2,0.25,170.72,158.83,165.16
0,0,0.8,0.4,0.01,157.28,149.14,155.36
0,0,0.8,0.4,0.058,161.15,151.2,159.2
0,0,0.8,0.4,0.106,163.05,153.54,161.5
0,0,0.8,0.4,0.154,169.56,155.99,164.41
0,0,0.8,0.4,0.202,170.92,157.14,166.7
0,0,0.8,0.4,0.25,169.9,159.39,168.16
0,0,0.8,0.6,0.01,159.86,148.03,155
0,0,0.8,0.6,0.058,163.53,151.74,160.73
0,0,0.8,0.6,0.106,166.36,154.64,163.38
0,0,0.8,0.6,0.154,169.56,155.99,164.41
0,0,0.8,0.6,0.202,169.37,153.6,164.97
0,0,0.8,0.6,0.25,172.77,155.05,166.36
0,0,0.8,0.8,0.01,157.85,144.44,155.95
0,0,0.8,0.8,0.058,160.05,147.91,160.14
0,0,0.8,0.8,0.106,162.59,149.77,162.07
0,0,0.8,0.8,0.154,165.22,152.44,163.84
0,0,0.8,0.8,0.202,169.37,153.6,164.98
0,0,0.8,0.8,0.25,166.1,158.28,167.47
0,0,0.8,1,0.01,152.93,146.29,155.31
0,0,0.8,1,0.058,157.13,150.82,158.32
0,0,0.8,1,0.106,159.74,154.09,161.29
0,0,0.8,1,0.154,164.06,155.63,163.4
0,0,0.8,1,0.202,164.5,156.66,166.54
0,0,0.8,1,0.25,166.1,158.28,167.43
0,0,1,0,0.01,157.93,146.33,155.21
0,0,1,0,0.058,161.22,155.15,161.19
0,0,1,0,0.106,166.46,156.91,163.61
0,0,1,0,0.154,168.62,159.7,166.35
0,0,1,0,0.202,169.58,161.58,169.81
0,0,1,0,0.25,171.27,162.77,169.99
0,0,1,0.2,0.01,157.04,150.97,159.8
0,0,1,0.2,0.058,160.91,155.14,161.2
0,0,1,0.2,0.106,163.8,157.33,165.94
0,0,1,0.2,0.154,166.25,160.02,168.83
0,0,1,0.2,0.202,167.26,160.72,169.39
0,0,1,0.2,0.25,168.17,162.33,171.49
0,0,1,0.4,0.01,156.53,151.75,158.3
0,0,1,0.4,0.058,160.55,154.22,163.5
0,0,1,0.4,0.106,160.95,157.48,165.97
0,0,1,0.4,0.154,161.09,154.45,162.52
0,0,1,0.4,0.202,162.4,156.29,165.82
0,0,1,0.4,0.25,164.26,156.87,166.72
0,0,1,0.6,0.01,156.45,146.01,156.34
0,0,1,0.6,0.058,157.67,149.45,160.76
0,0,1,0.6,0.106,159.2,152.32,162.92
0,0,1,0.6,0.154,161.56,154.41,162.51
0,0,1,0.6,0.202,166.54,158.14,170.54
0,0,1,0.6,0.25,169.08,158.73,172.5
0,0,1,0.8,0.01,152.23,149.45,160.06
0,0,1,0.8,0.058,157.61,152.18,163.27
0,0,1,0.8,0.106,162.29,155.14,165.63
0,0,1,0.8,0.154,163.83,157.09,169.56
0,0,1,0.8,0.202,166.54,158.14,170.54
0,0,1,0.8,0.25,171.2,162.45,163.8
0,0,1,1,0.01,160.11,151.08,152.23
0,0,1,1,0.058,164.56,155.79,156.51
0,0,1,1,0.106,167.85,157.81,159.06
0,0,1,1,0.154,170.34,159.32,161.8
0,0,1,1,0.202,170.73,161.43,162.94
0,0,1,1,0.25,171.2,162.45,163.8
0,0.002,0,0,0.01,150.64,145.43,143
0,0.002,0,0,0.058,154.85,148.78,150.72
0,0.002,0,0,0.106,158.52,149.8,154.98
0,0.002,0,0,0.154,159.96,151.53,159.16
0,0.002,0,0,0.202,161.27,154.91,161.04
0,0.002,0,0,0.25,162.95,156.54,162.59
0,0.002,0,0.2,0.01,151.82,145.24,144.27
0,0.002,0,0.2,0.058,154.64,149.51,150.5
0,0.002,0,0.2,0.106,162.72,152.56,157.31
0,0.002,0,0.2,0.154,164.83,154.8,160.43
0,0.002,0,0.2,0.202,165.87,156.27,162.57
0,0.002,0,0.2,0.25,168.42,158.36,164.88
0,0.002,0,0.4,0.01,154.32,146.01,145.92
0,0.002,0,0.4,0.058,158.46,149.72,151.89
0,0.002,0,0.4,0.106,162.66,152.93,156.8
0,0.002,0,0.4,0.154,162.29,155.58,156.58
0,0.002,0,0.4,0.202,163.48,158.13,159.8
0,0.002,0,0.4,0.25,165.33,158.12,162.23
0,0.002,0,0.6,0.01,152.77,145.56,143.4
0,0.002,0,0.6,0.058,155.96,150.1,149.39
0,0.002,0,0.6,0.106,158.83,153.49,155.08
0,0.002,0,0.6,0.154,161.07,156.31,157.27
0,0.002,0,0.6,0.202,163.8,156.37,161.32
0,0.002,0,0.6,0.25,165.78,159.07,164.46
0,0.002,0,0.8,0.01,156.45,144.86,146.16
0,0.002,0,0.8,0.058,159.46,150.85,152.18
0,0.002,0,0.8,0.106,162.4,153.11,154.02
0,0.002,0,0.8,0.154,164.8,153.91,159.89
0,0.002,0,0.8,0.202,165.41,156.59,163.1
0,0.002,0,0.8,0.25,170.19,158.53,165.55
0,0.002,0,1,0.01,159.57,146.63,147.22
0,0.002,0,1,0.058,162.5,152.59,152.24
0,0.002,0,1,0.106,165.91,153.57,157.17
0,0.002,0,1,0.154,167.45,156.9,160.28
0,0.002,0,1,0.202,170.16,159.28,163.01
0,0.002,0,1,0.25,172.91,160.04,167.09
0,0.002,0.2,0,0.01,160.38,147.72,148.63
0,0.002,0.2,0,0.058,154.87,150.68,153.39
0,0.002,0.2,0,0.106,156.63,152.79,155.92
0,0.002,0.2,0,0.154,158.03,156.31,160.25
0,0.002,0.2,0,0.202,161.17,158.4,162.97
0,0.002,0.2,0,0.25,162.53,159.95,164.13
0,0.002,0.2,0.2,0.01,151.22,145.67,146.86
0,0.002,0.2,0.2,0.058,155.1,149.65,152.11
0,0.002,0.2,0.2,0.106,155.98,152.78,157.22
0,0.002,0.2,0.2,0.154,159.79,157.04,160.44
0,0.002,0.2,0.2,0.202,164.44,159.05,162.32
0,0.002,0.2,0.2,0.25,166.02,160.63,164.89
0,0.002,0.2,0.4,0.01,150.01,147.85,146.74
0,0.002,0.2,0.4,0.058,155.21,152.25,153.72
0,0.002,0.2,0.4,0.106,157.54,155.17,157.19
0,0.002,0.2,0.4,0.154,161.17,157,160.86
0,0.002,0.2,0.4,0.202,163.05,158.78,165.36
0,0.002,0.2,0.4,0.25,165.02,159.33,165.09
0,0.002,0.2,0.6,0.01,152.06,149.36,146.34
0,0.002,0.2,0.6,0.058,158.63,152.97,153.72
0,0.002,0.2,0.6,0.106,161.68,155.1,158.49
0,0.002,0.2,0.6,0.154,162.57,157.69,160.79
0,0.002,0.2,0.6,0.202,163.74,158.83,163.56
0,0.002,0.2,0.6,0.25,165.17,160.54,165.6
0,0.002,0.2,0.8,0.01,152.39,145.46,146.79
0,0.002,0.2,0.8,0.058,156.1,149.42,152.28
0,0.002,0.2,0.8,0.106,160.11,152.88,157.37
0,0.002,0.2,0.8,0.154,162.27,155.42,160.63
0,0.002,0.2,0.8,0.202,164.67,156.52,163.03
0,0.002,0.2,0.8,0.25,165.85,158.28,164.03
