x,y,W
-0.00985411,0.0192413,0.036181
0.783376,0.504244,0.0567058
0.354229,0.171706,0.0310155
-0.681164,0.660274,0.0286331
-0.00693841,0.0231872,0.11197
-0.0189331,0.0518897,0.118423
-0.210976,0.677531,0.0037284
-0.0870603,-0.00904077,0.328461
-0.910036,-0.163983,0.0229928
-0.905154,-0.453185,0.0294335
0.849846,0.512048,0.00469143
1.03987,0.779944,0.0244654
0.0297456,0.0793487,0.265811
1.37249,3.27226,0.00795793
0.0509578,0.115334,0.0695767
0.0197313,0.122732,0.0339683
-0.0120269,0.00528621,0.0116828
0.0306085,0.0263366,0.481557
0.0172639,0.0154952,0.00901962
-0.0584338,0.09319,0.240028
-0.128304,-0.163062,0.0595799
0.0593706,-0.0167352,0.28707
-0.499922,0.295723,0.0471261
0.0516939,0.00893532,0.0729849
0.166512,0.135212,0.199401
0.480655,-0.5952,0.0521239
-0.0448013,0.0444413,0.0263784
-0.0147992,-0.0396148,0.140031
-0.640356,-0.459619,0.013234
0.873167,0.517521,0.0208926
0.0254642,0.273567,0.0674244
0.161055,0.0375493,0.200021
-0.600436,-0.282683,0.0488297
-0.119899,-0.066138,0.0680373
-0.0146279,-0.00566537,0.145105
-0.0241587,-0.00649607,0.0217786
-0.00121548,-0.0131907,0.0701582
-0.0046806,-0.0372451,0.0193862
-0.621994,-0.926678,0.0575046
0.178832,0.668743,0.035769
0.487086,0.150994,0.0101719
0.0298485,-0.0214792,0.207158
0.0938182,-0.118858,0.0312944
0.00187998,-0.0868664,0.00997614
-0.00250761,-0.0188735,0.00169877
-0.00734109,-0.182407,0.0724779
-0.368204,-0.521466,0.0215744
0.1075,0.042174,0.117573
0.0797089,0.00792208,0.0366824
0.281795,-0.066946,0.0660928
0.271843,-0.210844,0.0116906
-0.08678,-0.145066,0.432983
-0.114014,0.0701668,0.0178661
-0.122257,0.210087,0.266597
-0.080778,-0.0580285,0.2506
-0.218929,-0.998925,0.0465155
-1.7219,-1.52156,0.00308548
0.242589,-0.179164,0.020011
0.807943,0.162096,0.0633229
0.12337,0.0560894,0.213973
-0.101675,-0.0308322,0.448823
-0.209933,0.177814,0.0101465
0.606783,0.293261,0.021536
0.282442,0.259283,0.0885237
